YEAR,MO,DY,T2M,TS,QV2M,PRECTOTCORR,WS10M,WD10M
1990,3,21,13.76,13.81,6.9,3.64,3.29,91.69
1990,3,22,12.15,12.23,8.12,9.77,4.55,107.94
1990,3,23,12.04,12.08,6.59,0.76,2.9,145.5
1990,3,24,11.18,10.7,4.46,0.04,2.08,158.56
1990,3,25,11.28,10.33,2.87,0.1,2.21,158.88
1990,3,26,12.26,11.76,3.42,0,2.02,166.44
1990,3,27,9.9,9.55,5.31,0.11,3.14,108.5
1990,3,28,12.16,12.78,5.43,0.71,2.62,100.19
1990,3,29,13.3,13.7,5.55,0.84,2.5,119.12
1990,3,30,13.08,13.42,6.23,2.59,2.55,94.5
1990,3,31,14.06,13.84,6.16,0.2,2.66,174.25
1990,4,1,13.26,12.48,5,0.01,2.91,165.81
1990,4,2,14.77,14.42,4.33,0,3.06,183.5
1990,4,3,15.4,14.87,4.64,0,2.71,200.81
1990,4,4,16.47,15.73,4.03,0,2.62,146.44
1990,4,5,16.15,15.36,4.27,0,2.54,151.38
1990,4,6,14.19,13.49,5.37,0,2.47,78.44
1990,4,7,16.8,17.19,5.74,0.6,2.97,128.88
1990,4,8,17.37,17.51,5.37,0,4.04,211.19
1990,4,9,17.58,17.37,4.21,0.04,4.98,312.69
1990,4,10,18.57,18.05,4.03,0,3.74,258.31
1990,4,11,21.06,19.81,5.13,0,3.31,195.12
1990,4,12,21.19,20.33,6.96,0,2.19,128.56
1990,4,13,20.26,20.6,6.47,0.1,2.55,160.31
1990,4,14,18.83,18.78,5.49,0.91,2.52,219.19
1990,4,15,20.33,20.18,5.55,0,3.39,170
1990,4,16,21.08,20.8,5.31,0,3.93,185.12
1990,4,17,22.17,22,5.49,0,3.33,163.25
1990,4,18,22.57,23.07,4.88,0.02,4.66,166.38
1990,4,19,21.69,22.5,4.52,0.09,4.26,208.88
1990,4,20,21.25,20.98,3.48,0,4.47,225.75
1990,4,21,21.7,21.13,3.54,0,4.3,263.56
1990,4,22,22.33,22.03,3.78,0,3.66,184
1990,4,23,22.94,22.94,3.66,0,4.12,200.94
1990,4,24,24.23,24.07,4.82,1.06,3.74,200.06
1990,4,25,24.5,24.88,5.37,0,3.42,196.25
1990,4,26,22.7,22.55,6.1,0,2.92,100.81
1990,4,27,24.01,24.02,5.43,1.02,2.64,159
1990,4,28,22.57,22.54,4.03,0.3,3.33,177.06
1990,4,29,22.16,22.37,3.42,0,2.88,141.5
1990,4,30,22.79,22.19,3.97,0.3,2.35,131.25
1990,5,1,22.18,23.11,3.97,0.02,3.62,178.94
1990,5,2,21.92,23.52,6.47,0.12,3.4,167.44
1990,5,3,22.93,24.08,7.02,0.5,2.99,168.69
1990,5,4,21.96,23.41,7.57,0.25,1.85,126.81
1990,5,5,21.35,21.93,7.81,9.59,1.97,150.62
1990,5,6,21.32,22.05,8.48,3.15,2.43,126.12
1990,5,7,22.13,23.32,8.67,0.01,2.59,185.81
1990,5,8,24.22,25.01,8.97,0,3.01,172.19
1990,5,9,25.39,26.48,8.97,0,2.99,177.44
1990,5,10,26.44,27.3,8.97,0,3.03,166
1990,5,11,26.06,26.72,8.79,0,2.73,171.06
1990,5,12,24.8,26.15,9.89,2.53,2.43,222.12
1990,5,13,24.05,25.48,11.17,2.89,2.43,165.38
1990,5,14,25.97,26.97,10.86,0.54,3.08,180.75
1990,5,15,26.52,27.76,10.44,0,2.7,169
1990,5,16,27.4,28.43,10.38,0.47,2.88,201.69
1990,5,17,28.47,28.98,9.34,0.1,2.48,146.12
1990,5,18,27.62,28.75,7.81,0.01,3.23,180.88
1990,5,19,27.02,27.81,6.84,0.04,3.85,232.62
1990,5,20,25.88,26.87,5.8,0.08,2.88,171.38
1990,5,21,25.39,25.88,4.27,1.13,3.57,206.81
1990,5,22,25.48,26.35,4.21,0,3.45,188.94
1990,5,23,26.48,27.27,4.39,0,3.24,194.62
1990,5,24,27.4,27.63,4.03,0,3.08,182.75
1990,5,25,27.72,28.17,4.09,0,3.66,205.38
1990,5,26,28.37,29.24,5.74,0,5.15,268.38
1990,5,27,28.13,29.25,5.19,0,3.22,176.56
1990,5,28,28.87,29.76,4.82,0,3.43,168.25
1990,5,29,28.84,30.17,5.92,0,3.47,181.44
1990,5,30,27.65,29.19,7.93,0.39,2.55,206.94
1990,5,31,27.06,28.67,6.04,0.35,2.76,171.12
1990,6,1,27.38,28.48,4.88,0.02,2.95,182.5
1990,6,2,28.38,29.49,4.39,0,3.6,198.81
1990,6,3,29.63,30.5,5.13,0,3.75,286.56
1990,6,4,29.14,30.42,5.43,0,3.02,204.75
1990,6,5,28.8,29.91,5.43,0,3.32,211.19
1990,6,6,28.45,29.88,5.49,0.12,3.7,207.25
1990,6,7,28.42,29.98,6.23,2.05,3.86,205.06
1990,6,8,28.14,29.3,7.08,1.51,3.42,200.88
1990,6,9,27.91,29.35,6.23,0.02,3.67,209.31
1990,6,10,27.91,29.48,6.29,0.07,3.54,200.75
1990,6,11,27.89,29.23,6.53,0.27,3.24,201.88
1990,6,12,27.51,29.42,7.32,0.53,2.93,190.06
1990,6,13,27.32,29.55,7.2,0,3,192.56
1990,6,14,27.86,29.65,6.77,0,2.72,157.94
1990,6,15,28.41,30.33,7.14,0,2.94,173.25
1990,6,16,28.65,30.24,7.81,0,2.86,172.12
1990,6,17,29.01,30.83,7.57,0.1,3.11,187.75
1990,6,18,29.61,31.05,6.71,0,3.13,188
1990,6,19,30.12,31.4,5.92,0.04,2.89,154.81
1990,6,20,29.06,30.58,8.61,4.41,3.04,189.38
1990,6,21,28.64,30.13,10.01,0.76,3.06,186
1990,6,22,28.15,30.12,10.99,0.05,3.3,197.31
1990,6,23,29.23,30.4,10.93,5.42,3.29,253.06
1990,6,24,29.69,30.9,12.51,0.11,3.58,269.81
1990,6,25,29.87,31.65,13.43,0.01,3.62,272.62
1990,6,26,29.71,31.7,13.55,0.01,4.35,276
1990,6,27,28.05,29.83,13.92,10.06,2.91,223.94
1990,6,28,24.95,26.52,16.78,15.22,2.39,194.06
1990,6,29,24.23,25.51,16.97,2.79,1.9,168.88
1990,6,30,25.57,27.09,16.72,0.19,2.21,180.62
1990,7,1,24.73,25.65,17.52,29.15,1.4,187.19
1990,7,2,25.11,26.26,17.15,7.01,1.77,204.06
1990,7,3,22.98,23.1,17.82,21.29,1.98,183.19
1990,7,4,24.05,24.81,16.54,17.34,1.91,142.75
1990,7,5,23.55,24.4,16.78,7.94,2.3,141.94
1990,7,6,24.5,25.98,17.09,3.38,2.62,157.69
1990,7,7,24.75,26.47,17.64,1.67,2.53,187.69
1990,7,8,24.65,25.75,17.88,0.7,3.66,229.38
1990,7,9,23.35,24.2,18.25,26.39,3.81,236.81
1990,7,10,22.65,23.59,17.15,11.42,2.69,175.88
1990,7,11,23.19,24.25,17.03,20.58,1.81,206.44
1990,7,12,23.97,24.68,15.99,1.31,2.07,229
1990,7,13,25.44,25.44,14.47,0.09,2.75,214.12
1990,7,14,25.65,25.81,14.77,3.5,2.31,159.12
1990,7,15,23.69,24.74,16.72,3.19,1.69,165.06
1990,7,16,23.68,24.48,16.85,19.81,1.98,207.62
1990,7,17,23.77,24.63,17.03,0.5,2.83,244.19
1990,7,18,24.63,25.17,15.69,1.59,2.37,237.62
1990,7,19,23.4,24.01,14.71,5.46,2.47,197
1990,7,20,23.54,24.61,15.56,3.19,2.22,200.62
1990,7,21,23.34,24.27,15.2,2.77,2.16,253.06
1990,7,22,24.42,25.23,14.34,0.5,2.43,167.5
1990,7,23,23.51,24.45,15.87,3.39,1.59,158.62
1990,7,24,24.13,25.05,16.11,7.72,1.62,179.38
1990,7,25,23.53,24.48,17.15,2.19,2.74,256.12
1990,7,26,24.26,25.27,17.21,3.08,3.26,270.44
1990,7,27,23.45,24.05,17.15,11.18,2.7,259.69
1990,7,28,22.32,22.56,17.58,73.57,2.77,258.5
1990,7,29,22.69,23.31,16.72,3.74,2.62,266.81
1990,7,30,22.55,23.31,17.33,2.7,2.62,251.88
1990,7,31,23.44,24.13,17.52,1.29,2.48,269.38
1990,8,1,24.06,24.87,17.58,0.05,2.55,241.75
1990,8,2,21.76,22.01,16.6,14.83,2.13,175.56
1990,8,3,22.16,22.74,15.93,4.59,1.91,158
1990,8,4,22.06,22.64,16.6,2.21,2.41,168.19
1990,8,5,21.48,21.65,15.01,7.62,1.49,113.75
1990,8,6,22.8,23.54,17.21,2.38,2.52,174
1990,8,7,20.99,21.01,17.21,6.15,2.77,212.81
1990,8,8,21.01,21.38,16.66,12.39,2.2,181.25
1990,8,9,21.76,22.15,16.6,4.57,1.59,167.44
1990,8,10,21.52,22.08,16.85,7.22,2.02,178.38
1990,8,11,21.6,22.08,17.09,4.55,1.95,205.06
1990,8,12,22.33,22.61,17.76,15.26,2.95,252.31
1990,8,13,21.68,22.26,17.33,18.71,2.9,195.25
1990,8,14,21.55,22.15,15.26,2.48,2.1,157.44
1990,8,15,22.4,22.88,16.36,0.48,1.89,194.75
1990,8,16,22.99,23.47,16.72,0.91,1.79,187
1990,8,17,21.73,21.75,17.7,5.78,2.1,198.94
1990,8,18,21.87,22.23,16.42,0.28,1.88,165.19
1990,8,19,22.01,22.48,17.21,0,2.47,179.69
1990,8,20,21.95,22.25,16.54,0.02,1.7,164.25
1990,8,21,23.07,23.2,15.87,0.18,1.73,141.12
1990,8,22,22.48,22.69,16.78,3.09,1.89,145.31
1990,8,23,22.8,22.72,15.87,9.78,1.59,161.06
1990,8,24,23.4,23.84,17.21,1.31,1.81,185.31
1990,8,25,22.93,23.66,17.33,0,2.09,240.94
1990,8,26,22.71,22.98,16.17,0,2.8,276.06
1990,8,27,23.51,23.54,16.24,0,2.27,217.62
1990,8,28,21.24,21.58,16.54,3,2.31,195.75
1990,8,29,21.54,21.65,16.36,59.54,1.48,166.81
1990,8,30,22.03,21.46,15.62,2.83,1.3,154.19
1990,8,31,23.1,22.9,15.62,0.04,2.05,200.75
1990,9,1,23.6,23.27,16.6,0,1.98,179.38
1990,9,2,22.94,23.3,16.54,0.02,2.03,185.06
1990,9,3,22.79,22.86,16.66,0.24,2.62,248.12
1990,9,4,20.83,20.99,16.24,11.06,2.04,179.5
1990,9,5,20.58,20.82,15.32,21.96,1.96,110.56
1990,9,6,21.74,22.04,15.69,7.78,1.76,148.44
1990,9,7,21,20.66,16.05,22.77,1.52,82.5
1990,9,8,21.3,21.03,16.42,129.46,1.66,117.19
1990,9,9,21.92,21.98,16.6,15.12,1.78,139
1990,9,10,21.41,21.38,15.93,26.73,1.41,178.75
1990,9,11,21.22,21.57,15.99,0.63,1.9,169.75
1990,9,12,21.77,21.98,15.99,0,1.81,183.62
1990,9,13,21.73,22.03,16.3,0.39,1.71,162.56
1990,9,14,21.4,21.76,16.11,0.09,1.94,172.62
1990,9,15,21.48,21.79,16.3,12.67,1.83,184.81
1990,9,16,21.1,21.47,16.17,0.7,2.03,177.5
1990,9,17,21.39,21.58,16.36,3,2.22,234.12
1990,9,18,21.23,21.45,16.05,0.55,1.95,184.06
1990,9,19,20.04,20.36,14.95,0,1.73,165.38
1990,9,20,20.41,20.56,15.08,4.3,1.41,212.12
1990,9,21,20.74,20.83,15.44,1.94,1.63,199.19
1990,9,22,20.58,20.65,15.44,4.22,1.91,257.56
1990,9,23,20.72,20.8,15.75,0.95,1.95,244.12
1990,9,24,20.51,21.01,15.44,0.02,1.76,182.25
1990,9,25,20.78,20.89,15.44,0,1.88,255.19
1990,9,26,19.59,19.55,14.16,15.84,1.8,233
1990,9,27,19.11,18.68,12.51,0.13,2.21,165.38
1990,9,28,19.12,18.32,11.84,0,2.16,152
1990,9,29,19.01,18,11.78,2.43,2.25,154.19
1990,9,30,19.05,18.16,11.78,3.07,1.9,144.38
1990,10,1,18.72,18.01,11.84,0.2,1.94,146.25
1990,10,2,19.05,17.98,11.35,0.07,2,140
1990,10,3,18.88,18.14,11.72,0.01,1.93,151.44
1990,10,4,19.16,18.33,11.96,0,1.87,143.25
1990,10,5,19.47,18.5,12.39,0,1.96,144.25
1990,10,6,19.08,18.08,12.33,0,1.92,144.5
1990,10,7,19.51,18.14,11.23,0,2.05,142.81
1990,10,8,18.95,17.64,10.44,0,2.01,113.56
1990,10,9,18.4,16.81,9.22,0,1.98,133.25
1990,10,10,17.92,16.4,8.97,0,2.34,149.19
1990,10,11,17.57,16.5,9.7,0,2.21,143.06
1990,10,12,17.1,15.94,9.16,0,2.12,140.31
1990,10,13,16.1,14.87,8.06,0.26,2.23,132.44
1990,10,14,15.65,13.93,7.39,0,2.39,150.56
1990,10,15,15.57,13.91,7.39,0,2.23,134.81
1990,10,16,15.41,13.91,7.45,0,2.33,124.12
1990,10,17,15.83,14.5,7.57,0,2.43,101.69
1990,10,18,16.46,15.6,8.67,0.22,2.62,99.94
1990,10,19,16.05,14.61,6.96,0,2.21,132.75
1990,10,20,15.43,13.3,5.98,0,2.09,121.5
1990,10,21,15.07,12.9,6.04,0,2.17,133
1990,10,22,14.71,12.48,5.98,0,2.08,128
1990,10,23,14.44,12.15,5.74,0,2.05,127.56
1990,10,24,14.81,12.29,5.74,0,2.09,126.94
1990,10,25,14.58,12.27,5.92,0,1.94,116.62
1990,10,26,14.12,12.26,6.23,0,2.03,131.06
1990,10,27,14.34,12.15,5.98,0,2.18,128.25
1990,10,28,14.42,12,5.43,0,2.23,138.25
1990,10,29,14.44,11.8,5.25,0,2.24,135.25
1990,10,30,14.18,11.79,5.43,0,2.22,137.38
1990,10,31,14.18,12.15,5.62,0,2.47,151.19
1990,11,1,14.96,12.7,5.92,0,2.43,184.94
1990,11,2,15.03,12.98,5.86,0,2.26,125
1990,11,3,15.9,13.4,5.86,0,2.01,112.88
1990,11,4,15.94,13,5.37,0,2,121.94
1990,11,5,15.32,12.55,5.07,0,2.19,128.94
1990,11,6,14.82,12.15,4.64,0,2.24,127
1990,11,7,14.8,11.98,4.7,0,2.19,146.31
1990,11,8,14.96,11.9,4.82,0,1.86,120.81
1990,11,9,14.36,11.62,4.76,0,2.09,114.75
1990,11,10,15.05,12.17,4.58,0,2.16,107.81
1990,11,11,14.76,12.09,4.7,0,2.38,126.75
1990,11,12,14.94,11.78,4.7,0,1.93,134.06
1990,11,13,15.61,12.16,4.7,0,1.91,123.88
1990,11,14,16.08,12.27,4.52,0,1.84,113.19
1990,11,15,15.61,12.17,4.21,0,2.27,111.62
1990,11,16,15.25,11.56,4.09,0,2.05,114.31
1990,11,17,13.83,10.98,4.09,0,2.18,114.5
1990,11,18,13.54,10.48,3.66,0,2.05,113.88
1990,11,19,14.58,11.95,3.85,0,1.87,155.31
1990,11,20,14.87,12.19,4.46,0,1.73,145.62
1990,11,21,10.55,8.9,6.29,8.4,2.48,77.19
1990,11,22,11.23,9.47,5.8,2.87,2.07,125.19
1990,11,23,11.86,9.63,5.31,0,2.29,107
1990,11,24,12.19,9.76,5.13,0.01,1.88,139.19
1990,11,25,12.2,9.85,4.94,0,2.2,135.69
1990,11,26,11.71,8.93,3.85,0,1.93,120.31
1990,11,27,12.48,8.62,3.42,0,1.97,141.94
1990,11,28,12.4,8.83,3.3,0,2.12,128.06
1990,11,29,12.6,8.75,2.93,0,2.02,102.56
1990,11,30,12.21,8.69,2.87,0,1.91,118.69
1990,12,1,11.08,7.43,2.81,0,2.3,126
1990,12,2,11.12,6.99,2.75,0,1.98,115.69
1990,12,3,11.12,7.15,2.93,0,1.82,117.12
1990,12,4,10.82,7.04,2.93,0,1.92,118.44
1990,12,5,10.87,7.44,3.3,0,2.07,118
1990,12,6,10.7,7.31,3.23,0,2.07,115.5
1990,12,7,10.98,7.44,3.17,0,2.09,121.25
1990,12,8,10.55,6.8,3.48,0,1.45,111.5
1990,12,9,11.04,8.33,3.66,0,1.95,97.75
1990,12,10,10.75,8.69,3.66,0,1.91,106.81
1990,12,11,10.97,8.49,4.03,0,2.04,130
1990,12,12,10.97,7.58,3.42,0,2.1,120.88
1990,12,13,10.81,7.48,3.11,0,2.23,116.38
1990,12,14,10.36,7.04,3.48,0,1.91,107.69
1990,12,15,11.05,9.65,4.33,0,2.23,101.81
1990,12,16,9.4,8.21,4.82,0,2.74,68.06
1990,12,17,9.14,7.57,4.7,0,2.26,41.12
1990,12,18,10.59,7.83,3.78,0,2.05,155.56
1990,12,19,10.26,6.83,3.17,0,2.09,133.56
1990,12,20,10.3,5.94,2.81,0,1.84,112.81
1990,12,21,10.51,6.16,2.69,0,1.8,105.31
1990,12,22,11.01,6.71,2.44,0,2.06,125.38
1990,12,23,9.57,5.53,2.56,0,1.94,114.56
1990,12,24,10.02,6.16,2.56,0,2.02,126
1990,12,25,9.75,5.63,2.93,0,1.41,85.06
1990,12,26,11.02,7.99,3.54,0,1.96,97.12
1990,12,27,12.01,10.21,4.33,0,1.89,153.38
1990,12,28,10.37,8.71,4.58,0.01,1.98,92.31
1990,12,29,6.9,6.87,5.74,0.89,6.21,108.12
1990,12,30,4.37,4.8,5.49,1.16,3.81,113.88
1990,12,31,5.25,5.56,5,2.58,2.58,180.12
1991,1,1,2.89,1.19,3.17,0.33,2.05,159.56
1991,1,2,4.11,1.91,2.44,0,2.35,118.69
1991,1,3,5.69,2.92,2.14,0.13,2.18,124.62
1991,1,4,6.3,2.44,2.38,0.7,1.33,106.12
1991,1,5,7.85,4.18,2.38,0,1.95,116.19
1991,1,6,8.24,4.87,2.81,0,2.06,111.94
1991,1,7,8.4,5.87,3.17,0,2.09,94.31
1991,1,8,7.17,6.62,5.13,0.05,2.01,129.69
1991,1,9,7.78,6.26,4.58,0,2.27,116.75
1991,1,10,8.05,5.82,4.33,0,2.34,112.06
1991,1,11,7.51,5.37,3.97,0.12,1.81,108.56
1991,1,12,6.76,4.96,3.54,0.02,2.09,126.81
1991,1,13,5.79,3.78,2.87,0,2.35,137.38
1991,1,14,5.22,2.87,2.69,0,1.82,153.69
1991,1,15,6.26,4.19,2.2,0,2.26,123
1991,1,16,7.37,5.18,2.44,0,1.99,115.94
1991,1,17,7.28,4.74,2.5,0,2.13,123
1991,1,18,7.4,4.42,2.44,0,2.06,123.88
1991,1,19,7.02,4.36,2.14,0,2.47,141
1991,1,20,7.42,4.57,1.83,0,2.77,137.88
1991,1,21,7.41,4.87,2.14,0,2.41,131.5
1991,1,22,7.66,5.28,1.95,0,2.48,130.5
1991,1,23,8.66,6.41,2.2,0,2.18,136.44
1991,1,24,9.52,7.07,2.69,0,2.45,131.75
1991,1,25,11.98,9.67,3.05,0,2.23,114.56
1991,1,26,13.94,12.24,4.76,0,3.12,181.5
1991,1,27,16.48,13.26,3.36,0,3.43,141.19
1991,1,28,15.56,11.21,3.11,0,2.23,117.19
1991,1,29,13.17,10.51,3.54,0,2.52,201.81
1991,1,30,11.04,8.4,2.44,0,2.31,108.62
1991,1,31,10.37,7.46,2.14,0,2.34,144
1991,2,1,10.05,7.38,2.01,0,2.39,130.69
1991,2,2,9.44,7.32,1.83,0,2.44,130.5
1991,2,3,9.55,8.34,2.5,0,2.17,134.44
1991,2,4,9.46,7.87,2.5,0.25,2.53,143.19
1991,2,5,10.16,8.39,2.69,0.03,1.84,129.75
1991,2,6,11.14,11.05,3.48,0,2.34,119.75
1991,2,7,11.01,11.31,4.09,0,2.47,154.25
1991,2,8,12.32,11.06,3.23,0,2.95,135.56
1991,2,9,14.84,13.6,3.91,0,2.75,218.88
1991,2,10,12.1,11.14,5.25,0,1.5,76.56
1991,2,11,9.58,10.22,6.1,0.72,2.85,91.06
1991,2,12,10.27,10.06,5.74,12.28,2.82,103.31
1991,2,13,9.82,9.31,4.52,0.01,1.95,168.5
1991,2,14,9.15,7.91,3.36,0,2.12,147
1991,2,15,9.06,7.25,2.56,0,2.34,143.38
1991,2,16,10.35,7.93,2.26,0,1.99,134.38
1991,2,17,10.12,7.86,2.32,0,2.19,140.56
1991,2,18,9.45,8.1,2.99,0,2.45,114.31
1991,2,19,12.1,10.56,2.62,0,2.05,117.31
1991,2,20,13.4,11.49,2.69,0,2.11,126.44
1991,2,21,14.41,11.83,2.75,0,2.48,121.75
1991,2,22,14.76,11.69,3.05,0,2.17,142.5
1991,2,23,13.12,11.48,3.72,0,2.18,85.56
1991,2,24,14.98,14.89,5.68,0,2.8,121.06
1991,2,25,14.26,14.38,6.41,0.38,2.35,118.62
1991,2,26,11.51,11.44,7.08,2.17,2.49,119.31
1991,2,27,9.9,10.81,7.14,0.66,1.95,133.25
1991,2,28,10.57,11.23,4.52,0,2.4,138.62
1991,3,1,12.1,11.4,3.23,0,2.51,140.62
1991,3,2,11.51,10.26,3.85,0,1.64,93.38
1991,3,3,12.55,11.91,5,0,1.73,119.38
1991,3,4,11.65,12.12,5.92,0.6,3.14,95.62
1991,3,5,11.75,12.4,6.23,3.35,2.41,138.62
1991,3,6,11.76,11.2,3.6,0.21,2.96,153.94
1991,3,7,13.77,12.39,2.75,1.66,2.52,145
1991,3,8,12.19,10.73,4.39,0.04,2.2,83.19
1991,3,9,15.72,15.56,5.43,0.05,2.12,139.12
1991,3,10,15.73,15.39,4.39,0.01,2.78,179.25
1991,3,11,15.93,14.77,3.54,0,2.74,147.62
1991,3,12,16.08,14.98,3.42,0,2.54,140.62
1991,3,13,16.05,15.31,3.78,0.25,2.94,124
1991,3,14,15.58,15.68,4.46,1.14,2.88,135.12
1991,3,15,16.08,15.59,3.85,0.04,2.8,130.56
1991,3,16,16.69,15.37,3.36,0,2.5,139
1991,3,17,18.76,16.98,2.87,0,2.7,129.12
1991,3,18,19.43,18.19,3.3,0,2.48,124.25
1991,3,19,18.35,18.4,4.15,0,2.76,144.12
1991,3,20,17.43,16.73,3.42,0,2.45,151.44
1991,3,21,15.67,13.98,3.05,0,2.38,108.12
1991,3,22,16.45,15.33,3.54,0.58,4.45,123.69
1991,3,23,14.08,13.5,5.37,3.61,3.01,119.12
1991,3,24,13.54,13.91,4.33,0.04,2.68,182.06
1991,3,25,15.6,14.83,3.54,0,2.64,152
1991,3,26,16.89,16.48,3.85,0,2.75,152.56
1991,3,27,18.92,18.03,3.78,0,2.93,143.44
1991,3,28,20.01,19.4,3.6,0,3.18,170.19
1991,3,29,20.8,20.38,4.15,0,4.4,198.06
1991,3,30,21.84,21.65,4.64,0,3.61,223.25
1991,3,31,21.68,21.69,4.88,0.04,3.67,180.38
1991,4,1,20.94,20.74,4.94,0.19,3.03,160.31
1991,4,2,22.07,22.33,5.13,0,2.73,137.31
1991,4,3,20.4,20.59,4.27,0.05,3.23,154.12
1991,4,4,19.88,19.84,3.78,0.01,2.79,153
1991,4,5,19.74,20.27,4.33,0,2.81,158.75
1991,4,6,19.39,19.94,4.21,0,2.83,156.19
1991,4,7,19.48,20.23,4.27,0,2.91,159.56
1991,4,8,19.72,20.48,4.82,0,2.75,138.12
1991,4,9,15.4,16.77,6.53,0.55,3.98,121.56
1991,4,10,16.83,18.69,4.58,0,3.38,187.88
1991,4,11,18.24,18.36,3.05,0,3.02,200.81
1991,4,12,18.75,19.19,3.48,0,2.67,125.06
1991,4,13,20.66,22.2,4.27,0,3.6,110.5
